location,topics
"New York, United States","['python', 'selenium', 'selenium-webdriver', 'web-scraping', 'protractor', 'javascript']"
"Independence, Missouri United States","['git', 'django', 'python', 'django-models', 'go', 'pip']"
Code desert,"['c#', 'asp.net', 'linq', '.net', 'vb.net', 'sql']"
"Bangalore, India","['php', 'regex', 'string', 'java', 'c', 'c++']"
"Tabayesco, Lanzarote, Canary Islands","['php', 'html', 'css', 'javascript', 'mysql', 'jquery']"
,"['c++', 'opengl', 'c++11', 'glsl', 'c++17', 'c++20']"
"London, United Kingdom","['git', 'github', 'git-branch', 'python', 'bash', 'git-submodules']"
"Rugby, United Kingdom","['sql-server', 'sql', 'tsql', 'sql-server-2008', 'sql-server-2005', 'mysql']"
"Kingsley, MI","['c#', 'async-await', 'asynchronous', '.net', 'task-parallel-library', 'multithreading']"
"Bellingham, WA, USA","['git', 'github', 'branch', 'merge', 'git-branch', 'version-control']"
Berlin,"['php', 'c#', 'javascript', 'c++', 'arrays', 'jquery']"
"Ypres, Belgium","['python', 'django', 'haskell', 'django-models', 'list', 'python-3.x']"
"Gibsons, BC , Canada","['ruby', 'ruby-on-rails', 'postgresql', 'sql', 'javascript', 'jquery']"
Switzerland,"['sql', 'sql-server', 'tsql', 'sql-server-2005', 'sql-server-2008', 'mysql']"
,"['c#', '.net', 'c', 'c++', 'asp.net', 'linq']"
"Stockholm, Sweden","['java', 'android', 'string', 'multithreading', 'collections', 'regex']"
"Moscow, Russia","['sql', 'mysql', 'sql-server', 'tsql', 'oracle', 'postgresql']"
"Los Angeles, CA, USA","['ios', 'swift', 'objective-c', 'grand-central-dispatch', 'xcode', 'iphone']"
"Melbourne, Australia","['java', 'regex', 'mysql', 'sql', 'string', 'postgresql']"
"Austin, TX","['javascript', 'jquery', 'html', 'arrays', 'css', 'json']"
UK,"['java', 'spring', 'spring-mvc', 'hibernate', 'jsp', 'jaxb']"
"Charlotte, NC","['javascript', 'java', 'c++', 'c#', 'python', 'algorithm']"
"Malmö, Sweden","['c++', 'c', 'pointers', 'arrays', 'c++11', 'string']"
"Lyon, France","['php', 'javascript', 'mysql', 'arrays', 'html', 'sql']"
"San Francisco, CA","['git', 'python', 'objective-c', 'macos', 'django', 'github']"
"York, NE","['c#', 'sql', '.net', 'sql-server', 'vb.net', 'asp.net']"
"Moscow, Russia","['python', 'subprocess', 'datetime', 'python-3.x', 'python-2.7', 'unicode']"
"Stockholm, Sweden","['c', 'c++', 'python', 'string', 'linux', 'struct']"
United States,"['python', 'c++', 'c', 'objective-c', 'java', 'linux']"
Israel,"['java', 'java-8', 'java-stream', 'push-notification', 'lambda', 'arrays']"
"Cary, NC, USA","['jquery', 'javascript', 'html', 'css', 'angularjs', 'ajax']"
"San Diego, CA, USA","['intellij-idea', 'java', 'phpstorm', 'ide', 'pycharm', 'maven']"
"Norfolk, VA","['python', 'django', 'java', 'unit-testing', 'database', 'database-design']"
,"['c++', 'c++11', 'c', 'javascript', 'php', 'pointers']"
"Porsgrunn, Norge","['c#', '.net', 'sql-server', 'sql', 'mercurial', 'multithreading']"
"Karachi, Pakistan","['jquery', 'javascript', 'php', 'html', 'css', 'arrays']"
"Palo Alto, CA","['java', 'regex', 'string', 'generics', 'collections', 'javascript']"
"Budapest, Hungary","['go', 'string', 'struct', 'slice', 'java', 'pointers']"
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","['r', 'dplyr', 'dataframe', 'tidyverse', 'data.table', 'list']"
"Austin, TX, USA","['ios', 'objective-c', 'swift', 'xcode', 'iphone', 'cocoa-touch']"
"Düsseldorf, Germany","['javascript', 'arrays', 'object', 'ecmascript-6', 'sorting', 'json']"
"Lyon, France","['javascript', 'jquery', 'go', 'java', 'html', 'arrays']"
Netherlands,"['c++', 'boost', 'boost-spirit', 'vim', 'c#', 'c++11']"
"New Jersey, USA","['angularjs', 'angular', 'javascript', 'angularjs-directive', 'angularjs-scope', 'typescript']"
